DiseaseId	Class
C2887084	C01
C0025303	C01
C0221237	C01
C0596773	C01
C0014236	C01
C0747651	C01
C0854328	C01
C0276548	C01
C4082764	C01
C2900450	C01
C0013371	C01
C0277331	C01
C1504514	C01
C0276161	C01
C0019097	C01
C0041307	C01
C0302360	C01
C0458385	C01
C0004576	C01
C3160847	C01
C0006848	C01
C0344020	C01
C0520798	C01
C4087436	C01
C0856238	C01
C0031350	C01
C1258039	C01
C0266024	C01
C2720436	C01
C0019159	C01
C0275919	C01
C4303092	C01
C0497169	C01
C0729519	C01
C0276340	C01
C0949091	C01
C0277005	C01
C0276096	C01
C4275003	C01
C0036329	C01
C0029342	C01
C0742964	C01
C1313983	C01
C0005866	C01
C0275686	C01
C0341503	C01
C0019099	C01
C0275703	C01
C4049342	C01
C0524909	C01
C0085396	C01
C0019096	C01
C0003869	C01
C0275518	C01
C0041351	C01
C0012754	C01
C0158945	C01
C3853540	C01
C0729584	C01
C0014541	C01
C0949804	C01
C0751341	C01
C0155870	C01
C0038463	C01
C0036231	C01
C0021345	C01
C1852467	C01
C3874374	C01
C0276088	C01
C0001857	C01
C0043102	C01
C0162637	C01
C0343379	C01
C2930924	C01
C0854211	C01
C0010678	C01
C0153252	C01
C0036220	C01
C0028425	C01
C0003089	C01
C1532094	C01
C0919659	C01
C0027441	C01
C1367420	C01
C0276609	C01
C0153562	C01
C0270629	C01
C0300934	C01
C1562067	C01
C2960634	C01
C1335482	C01
C0887976	C01
C4073207	C01
C0936243	C01
C0013533	C01
C0278764	C01
C4302251	C01
C0023343	C01
C0036686	C01
C0376618	C01
C4552332	C01
C0014347	C01
C0019104	C01
C0276226	C01
C0343890	C01
C0276651	C01
C0149778	C01
C2711472	C01
C1096572	C01
C0041471	C01
C0343755	C01
C0040558	C01
C0343713	C01
C0149770	C01
C4703485	C01
C0858312	C01
C0041343	C01
C0085399	C01
C0206602	C01
C0276085	C01
C0740766	C01
C1827192	C01
C0024793	C01
C0751583	C01
C1609538	C01
C0269062	C01
C0275911	C01
C0275909	C01
C0338551	C01
C0852110	C01
C1384589	C01
C0149801	C01
C0014078	C01
C0018572	C01
C0031351	C01
C0264383	C01
C0238106	C01
C0037753	C01
C0006277	C01
C1512508	C01
C0019338	C01
C1096567	C01
C3853962	C01
C0014040	C01
C3891815	C01
C0039614	C01
C0043124	C01
C1527258	C01
C1279386	C01
C0343804	C01
C1264610	C01
C0085388	C01
C0276687	C01
C0042721	C01
C0013467	C01
C1827894	C01
C0276883	C01
C0035469	C01
C2711110	C01
C0042769	C01
C4543807	C01
C0343729	C01
C1290647	C01
C0043037	C01
C3495091	C01
C2317131	C01
C0149516	C01
C0025294	C01
C3249881	C01
C0751343	C01
C0024759	C01
C0001338	C01
C0026780	C01
C0041466	C01
C0030481	C01
C0043395	C01
C0276044	C01
C0022504	C01
C1562908	C01
C0035112	C01
C0011226	C01
C0035022	C01
C0520788	C01
C0237967	C01
C0085395	C01
C0206604	C01
C1318973	C01
C1333063	C01
C0041296	C01
C0302358	C01
C0040561	C01
C1262299	C01
C0009774	C01
C0206611	C01
C0264270	C01
C0400914	C01
C0409579	C01
C3163971	C01
C0749591	C01
C1282227	C01
C1959859	C01
C3830467	C01
C4023003	C01
C0014009	C01
C0014013	C01
C0341479	C01
C0036323	C01
C0153188	C01
C0023290	C01
C0029307	C01
C0393489	C01
C0521839	C01
C0031154	C01
C3873491	C01
C0009021	C01
C0343101	C01
C0040820	C01
C0085397	C01
C0338375	C01
C0085436	C01
C0004031	C01
C0151332	C01
C2608043	C01
C0001344	C01
C0006852	C01
C0027613	C01
C0456097	C01
C0041326	C01
C3825221	C01
C0001361	C01
C0694549	C01
C1272766	C01
C1835931	C01
C3203574	C01
C3887503	C01
C0242301	C01
C0276429	C01
C0349415	C01
C0275778	C01
C0206525	C01
C2936833	C01
C0153045	C01
C0008149	C01
C0006309	C01
C0039133	C01
C0035021	C01
C0004623	C01
C0013370	C01
C0282687	C01
C0586989	C01
C1719404	C01
C0235812	C01
C2020625	C01
C0276447	C01
C0341335	C01
C0263421	C01
C0153065	C01
C1395264	C01
C3472698	C01
C0004669	C01
C0026976	C01
C0018889	C01
C3804981	C01
C2931317	C01
C0037278	C01
C1970879	C01
C1970859	C01
C1443892	C01
C0155143	C01
C0949083	C01
C0035369	C01
C0343752	C01
C0279582	C01
C0149991	C01
C0079487	C01
C0553576	C01
C0730315	C01
C0153560	C01
C0040199	C01
C0276035	C01
C0152074	C01
C0014057	C01
C0740690	C01
C0275616	C01
C0747556	C01
C0554628	C01
C0343758	C01
C3899282	C01
C0041309	C01
C0043167	C01
C0276640	C01
C0276638	C01
C0948264	C01
C0398677	C01
C0038539	C01
C0008582	C01
C0276839	C01
C0277526	C01
C0008711	C01
C0002016	C01
C0242337	C01
C0276108	C01
C0149514	C01
C0015674	C01
C0729552	C01
C0040524	C01
C0155567	C01
C0026718	C01
C1268606	C01
C0275904	C01
C1264624	C01
C0008033	C01
C0003177	C01
C3806482	C01
C0042136	C01
C0679362	C01
C0276275	C01
C1853193	C01
C0276688	C01
C0157845	C01
C0006274	C01
C0152069	C01
C0157847	C01
C0751586	C01
C4551494	C01
C0012624	C01
C0694550	C01
C4303085	C01
C0025293	C01
C0205858	C01
C0031946	C01
C0014378	C01
C1142553	C01
C0864813	C01
C4543948	C01
C0451697	C01
C0024449	C01
C1812609	C01
C0023240	C01
C0339403	C01
C0729555	C01
C0003175	C01
C0206752	C01
C0038041	C01
C0155568	C01
C0004659	C01
C1142423	C01
C0153053	C01
C1835828	C01
C0019364	C01
C0238434	C01
C0343723	C01
C1527287	C01
C0948149	C01
C0085293	C01
C0343730	C01
C0267537	C01
C0596270	C01
C0024534	C01
C0017162	C01
C0752334	C01
C0024025	C01
C0023241	C01
C4706583	C01
C0042029	C01
C1444605	C01
C0850666	C01
C1697744	C01
C0018013	C01
C0343800	C01
C0343771	C01
C0178238	C01
C0887898	C01
C0158371	C01
C0398795	C01
C0494053	C01
C4518626	C01
C4518624	C01
C0008354	C01
C0029002	C01
C0001311	C01
C0023076	C01
C0264272	C01
C2930845	C01
C0152072	C01
C0555197	C01
C4553297	C01
C0277356	C01
C0729777	C01
C2231324	C01
C4303462	C01
C0277528	C01
C1096584	C01
C4316792	C01
C2930827	C01
C1859353	C01
C0746495	C01
C0340896	C01
C1844383	C01
C0452221	C01
C0014476	C01
C0340092	C01
C0152545	C01
C0041325	C01
C0085222	C01
C0009187	C01
C0017574	C01
C0035436	C01
C1278807	C01
C0276832	C01
C0343532	C01
C2350529	C01
C0085933	C01
C0277525	C01
C1510428	C01
C3888929	C01
C3203357	C01
C0853856	C01
C0206526	C01
C0025229	C01
C1328252	C01
C0004626	C01
C0264053	C01
C0014522	C01
C1535939	C01
C0004610	C01
C0339808	C01
C1864997	C01
C4721893	C01
C0600041	C01
C0854119	C01
C0857862	C01
C0162576	C01
C0038159	C01
C0085568	C01
C1527298	C01
C0850705	C01
C0042749	C01
C0018482	C01
C2931854	C01
C1319860	C01
C1632842	C01
C0023281	C01
C0014736	C01
C0276093	C01
C0276535	C01
C0006015	C01
C0039128	C01
C1396740	C01
C0085313	C01
C0027583	C01
C0022802	C01
C0877267	C01
C0278879	C01
C0343757	C01
C2930674	C01
C4076533	C01
C0085164	C01
C0206608	C01
C0524911	C01
C0392662	C01
C0085166	C01
C0014060	C01
C0519095	C01
C0009443	C01
C0017536	C01
C0152413	C01
C0023351	C01
C0152966	C01
C0027333	C01
C1562585	C01
C0039254	C01
C0343466	C01
C0009765	C01
C0003615	C01
C0003950	C01
C0152517	C01
C0858906	C01
C1262006	C01
C0241893	C01
C0854094	C01
C0019640	C01
C3824874	C01
C0010414	C01
C0242994	C01
C4511579	C01
C0742115	C01
C0018121	C01
C0401013	C01
C0376175	C01
C0404521	C01
C0014070	C01
C0343528	C01
C0276742	C01
C0276721	C01
C0003723	C01
C1997728	C01
C0035920	C01
C0751447	C01
C0085659	C01
C0392666	C01
C1412002	C01
C0023092	C01
C0023283	C01
C0041324	C01
C0001139	C01
C1837066	C01
